clus,pois,latitude,longitude,time,categories
92,Galleria_degli_Uffizi,43.76843889,11.2559,364.7803738,museidifirenze;pinacoteched'italia;uffizi
93,Firenze_Fiera;Palazzo_degli_Affari,43.77803889,11.24959722,792.6666667,firenzefiera;palazzidifirenze;firenzefiera;fiere
94,Cappella_dei_Papi,43.77517222,11.24810278,185.9473684,dipintiafirenze;cappelledifirenze;basilichedifirenze;ciclidiaffreschidifirenze
95,Palazzo_Antinori,43.77281667,11.25112778,120,palazzidifirenze
97,Piazza_dell'Unità_Italiana,43.77486944,11.25043889,120,piazzedifirenze
98,Gran_Caffè_Doney;Palazzo_Altoviti_Sangalletti;Palazzo_del_Circolo_dell'Unione;Via_de'_Tornabuoni,43.77086944,11.25154444,282.2222222,caffèstoricidifirenze;palazzidifirenze;stradedifirenze;palazzidifirenze
99,Palazzo_della_Marescialla,43.77163333,11.24663889,135.4117647,palazzidifirenze
100,Basilica_di_San_Marco_(Firenze),43.77831667,11.25906111,809.9230769,monumentidifirenze;basilichedifirenze;chiesedifirenze
101,Chiesa_di_San_Pancrazio_(Firenze);Museo_Marino_Marini_(Firenze);Tempietto_del_Santo_Sepolcro,43.77183611,11.249975,411.3529412,architetturedifirenze;chiesedifirenze;monumentidifirenze;chiesedifirenze;museidifirenze
103,Sinagoghe_di_via_delle_Oche,43.77211389,11.25660556,120,sinagoghedifirenze
104,Palazzo_Agostini_(Firenze),43.76771389,11.249425,120,palazzidifirenze
105,Manifattura_Tabacchi_(Firenze),43.78554444,11.22425278,120,architetturedifirenze
106,Casa_Velluti,43.76642222,11.24887222,120,palazzidifirenze
107,Torre_degli_Amidei,43.76876389,11.25363611,120,torridifirenze
108,Torre_dei_Baldovinetti,43.76901389,11.25378611,220.3030303,torridifirenze
109,Via_Calimaruzza,43.76991111,11.25494444,120,stradedifirenze
110,Chiesa_di_San_Giovannino_degli_Scolopi,43.77476111,11.25573333,120.7916667,chiesedifirenze
111,Palazzo_Cocchi-Serristori,43.76927222,11.26065833,120,palazzidifirenze;architetturedifirenze
112,Carcere_delle_Stinche,43.770125,11.26098333,835.5,storiadifirenze;carceridifirenze;architetturedifirenze
113,Chiesa_dei_Santi_Simone_e_Giuda_(Firenze),43.76983056,11.26053333,120,chiesedifirenze
114,Palazzo_Acciaiuoli,43.769175,11.25330833,3600,palazzidifirenze
115,Palazzo_Uguccioni,43.76998889,11.25648889,1007.063291,palazzidifirenze;architetturedifirenze
116,Palazzo_dell'Antella,43.76870833,11.26115278,120,palazzidifirenze;architetturedifirenze
117,Torri_degli_Adimari,43.77234444,11.25536667,120,torridifirenze
118,Chiesa_di_San_Cristoforo_degli_Adimari,43.77251667,11.25534722,120,chiesedifirenze
119,Chiesa_di_San_Romolo,43.77003889,11.25565,265.3333333,chiesedifirenze
120,Torre_dei_Caponsacchi;Caffè_Le_Giubbe_Rosse,43.77115,11.253975,196.5857143,caffèstoricidifirenze;architetturedifirenze;torridifirenze
121,Chiesa_di_Santa_Maria_a_Ricorboli,43.76167222,11.27384167,120,edificidicultodifirenze;chiesedifirenze
122,Chiesa_di_Sant'Antonino_(Firenze),43.76786944,11.28855278,2095.666667,chiesedifirenze
124,Chiesa_Evangelica_Luterana_(Firenze),43.76554722,11.25710278,415.6071429,edificidicultodifirenze;chiesedifirenze
125,Chiesa_del_Sacro_Cuore_al_Romito,43.78525556,11.24712222,120,chiesedifirenze
126,Chiesa_di_San_Piero_in_Palco,43.75899167,11.28385833,137.5,chiesedifirenze
127,Casa_Ridolfi,43.76548333,11.24833889,120,palazzidifirenze
128,Palazzo_Del_Pugliese,43.76860833,11.24590833,1124.625,palazzidifirenze
129,Chiesa_della_Beata_Maria_Vergine_Madre_della_Divina_Provvidenza,43.78855833,11.27517222,120,chiesedifirenze
130,Chiesa_dell'Ascensione_di_Nostro_Signore_Gesù_Cristo,43.79045833,11.23657778,120,chiesedifirenze
131,Via_delle_Terme,43.76984444,11.25277222,2740.5,stradedifirenze
132,Torre_dei_Pulci,43.76856111,11.25507222,198.3235704,torridifirenze
133,Torre_dei_Rigaletti;Palazzo_Bartolommei-Buschetti;Via_Lambertesca,43.76886389,11.25429167,120,torridifirenze;palazzidifirenze;stradedifirenze
135,Chiesa_di_Santa_Felicita_(Firenze),43.76683333,11.25263611,120,chiesedifirenze
137,Via_San_Niccolò,43.76419444,11.26151111,219.7,stradedifirenze
138,Costa_San_Giorgio,43.76454167,11.25603056,120,stradedifirenze
139,Borgo_La_Croce,43.77125,11.268525,1301.83871,stradedifirenze
140,Borgo_Santa_Croce,43.768075,11.26070278,120,stradedifirenze
