id;name;latitude;longitude
F395 ;Casa_Capponi;43.7696916667;11.2453555556
F396 ;Ponte_Amerigo_Vespucci;43.7719666667;11.2429861111
F397 ;Piazza_del_Carmine;43.7686472222;11.2440666667
F398 ;Palazzo_Rospigliosi_Pallavicini;43.7685722222;11.2433805556
F399 ;Basilica_di_Santa_Maria_del_Carmine_(Firenze);43.7680027778;11.2439027778
F400 ;Cappella_Brancacci;43.7677222222;11.243575
F401 ;Cappella_Corsini;43.7676388889;11.2440861111
F404 ;Albergo_Popolare;43.7675444444;11.2429305556
F405 ;Palazzo_Accolti;43.7664666667;11.2439666667
F406 ;Piazza_Piattellina;43.7684638889;11.24315
F407 ;Chiesa_di_Santa_Monica_(Firenze);43.7681222222;11.2449638889
F408 ;Tabernacolo_del_Canto_alla_Cuculia;43.7677694444;11.2456694444
F409 ;Piazza_Tasso;43.76735;11.2406222222
F410 ;Chiesa_di_San_Salvatore_a_Camaldoli;43.7680194444;11.2404166667
F411 ;Chiesa_di_San_Francesco_di_Sales_(Firenze);43.769125;11.2399305556
F412 ;Porta_Romana_(Firenze);43.7606777778;11.2418888889
F413 ;Chiesa_di_San_Donato_in_Scopeto;43.7612222222;11.2377833333
F414 ;Chiesa_di_Sant'Ilario_a_Colombaia;43.757425;11.2390555556
F415 ;Chiesa_di_San_Giovanni_Battista_della_Calza;43.7610305556;11.2418388889
F417 ;Istituto_Statale_d'Arte_di_Firenze;43.7597333333;11.2460638889
F419 ;Giardino_del_Bobolino;43.7579361111;11.2482333333
F420 ;Giardino_di_scultura_contemporanea_olandese;43.7539388889;11.2470888889
F424 ;Chiesa_di_San_Leone_Magno;43.7517583333;11.2356527778
F426 ;Villa_Bayon;43.7523027778;11.2346388889
F430 ;Viale_dei_Colli;43.7608111111;11.2703027778
F431 ;Piazzale_Michelangelo;43.7629166667;11.2651555556
F434 ;Giardino_dell'Iris;43.7628166667;11.266875
F435 ;Giardino_delle_Rose;43.7629333333;11.2627916667
F436 ;Basilica_di_San_Miniato_al_Monte;43.7596388889;11.2652388889
F438 ;Cappella_del_Cardinale_del_Portogallo;43.759575;11.2651555556
F439 ;Palazzo_dei_Vescovi_fiorentini;43.789825;11.2560722222
F440 ;Cimitero_delle_Porte_Sante;43.7589527778;11.2640861111
F441 ;Chiesa_di_San_Salvatore_al_Monte;43.7615805556;11.2654055556
F442 ;Istituto_Ortopedico_Toscano;43.7548583333;11.2722972222
F444 ;Chiesa_di_San_Leonardo_in_Arcetri;43.7597333333;11.2553305556
F445 ;Osservatorio_Astrofisico_di_Arcetri;43.7505555556;11.2544444444
F447 ;Villa_Capponi_(Firenze);43.7523805556;11.2540305556
F448 ;Villa_Il_Giullarino;43.7520305556;11.2542527778
F449 ;Torre_del_Gallo;43.751925;11.2585527778
F450 ;Villa_La_Gallina;43.7503944444;11.258525
F451 ;Villa_Agape-Arrighetti;43.7523472222;11.2566861111
F452 ;Villa_Giramonte;43.75435;11.2585444444
F453 ;Villa_Giovannelli;43.756525;11.2602805556
F454 ;Villa_di_Volsanminiato;43.7509805556;11.2561138889
F457 ;Forte_Belvedere;43.7629666667;11.2538666667
F458 ;Porta_San_Giorgio_(Firenze);43.7630333333;11.2550527778
F459 ;Costa_San_Giorgio;43.7645416667;11.2560305556
F460 ;Chiesa_di_San_Giorgio_alla_Costa;43.7653305556;11.2550027778
F461 ;Casa_di_Galileo_(Firenze);43.7662861111;11.2541055556
F462 ;Villa_Bardini;43.7639638889;11.256275
F464 ;Museo_Annigoni;43.7640027778;11.2562805556
