clus,pois,latitude,longitude,time,categories
100,Canonica_(Pisa),43.71891389,10.40011944,300,palazzidipisa
101,Chiesa_di_San_Paolo_all'Orto,43.71751944,10.40422222,563.4814815,chiesedipisa
102,Chiesa_di_San_Frediano_(Pisa),43.71796389,10.39937222,680.2307692,chiesedipisa
103,Chiesa_di_San_Paolo_a_Ripa_d'Arno,43.712925,10.39350833,612.6666667,chiesedipisa
104,Chiesa_di_San_Zeno_(Pisa),43.723,10.40753056,300,chiesedipisa
105,Bagni_di_Nerone,43.72230833,10.401925,365.2,edificitermaliromani;architetturedipisa
106,Domus_Galilaeana,43.71855,10.39711944,300,museidipisa;fondazioniitaliane;storiadellascienza
107,Stazione_Leopolda_(Pisa),43.70975,10.40579167,300,teatridipisa;stazioniferroviariedipisa
109,Chiesa_e_convento_di_Sant'Anna,43.72130833,10.40206667,300,chiesedipisa
110,Chiesa_di_Santo_Stefano_dei_Cavalieri,43.719325,10.40095278,533.5957447,chiesedipisa
111,Chiesa_di_Santa_Maria_del_Carmine_(Pisa),43.71278889,10.40037778,658.9473684,chiesedipisa
